source_cui,target_cui
C0000097,C0270730
C0000215,
C0000215,
C0000215,
C0000220,
C0000220,
C0000220,
C0000294,C0000294
C0000294,
C0000294,
C0000294,
C0000294,
C0000294,
C0000294,
C0000294,
C0000294,C0704829
C0000294,C0704829
C0000294,C0704829
C0000294,C0704829
C0000294,C0704829
C0000294,C0704829
C0000294,C0704829
C0000294,C0704829
C0000294,C0704829
C0000294,
C0000294,
C0000294,
C0000294,
C0000294,
C0000294,
C0000294,
C0000378,C0000378
C0000378,
C0000378,
C0000378,
C0000378,
C0000378,
C0000378,
C0000378,
C0000378,
C0000378,
C0000473,C0000473
C0000473,
C0000477,C0000477
C0000477,
C0000477,
C0000477,
C0000477,
C0000477,
C0000545,C0000545
C0000545,
C0000545,
C0000545,
C0000545,
C0000545,
C0000598,C0000598
C0000598,C0980728
C0000598,C0980728
C0000608,C0000608
C0000608,
C0000608,
C0000608,
C0000608,
C0000608,
C0000608,
C0000608,
C0000608,
C0000608,
C0000608,
C0000608,
C0000608,
C0000608,
C0000608,
C0000608,
C0000608,
C0000608,
C0000608,
C0000608,
C0000618,C0000618
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,C0689485
C0000618,C0689485
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000618,
C0000665,C0000665
C0000665,
C0000665,
C0000665,C0000665
C0000665,
C0000665,
C0000665,
C0000665,
C0000665,
C0000665,
C0000665,
C0000665,
C0000665,
C0000665,
C0000665,
C0000665,
C0000665,
C0000665,